Age,Gender,Income,Education,Employment,Online_Shop_Frequency,Avg_Spend_Per_Order,Frequent_Categories,Device_Used,Main_Purchase_Factor,Try_New_Platform,Pay_Faster_Delivery,Become_Regular_If_Personalized,Max_Loyalty_Program_Pay,Abandon_Cart_If_Slow,Allow_Data_Use_For_Rec,Checkout_Problem,Attn_Personalized_Recs,Price_Sensitivity,Switch_For_Discount,Shopping_Challenges,Desired_Features,Satisfaction_1_10,Preferred_Shop_Time,Would_Recommend
25-34,Female,$5000-$9999,Bachelor’s,Employed,1-2 times,<$20,Home & Kitchen,Desktop/Laptop,Price,Very Likely,No,Unlikely,None,Yes,Yes,Complicated Checkout,Sometimes,Very Sensitive,Likely,"Delivery Delays,Other","Better Loyalty Rewards,Flexible Returns,Live Chat Support",10,Morning,No
25-34,Male,"$10,000+",Other,Self-employed,3-5 times,$20-$49,"Home & Kitchen,Books,Groceries",Mobile,Price,Likely,Yes,Unlikely,$5-9,Yes,No,Complicated Checkout,Sometimes,Not Very Sensitive,Likely,"Delivery Delays,Product Quality,Lack of Variety",One-Click Checkout,7,Night,Yes
25-34,Female,$1000-$2999,Master’s,Student,10+ times,$100-$199,"Health & Beauty,Home & Kitchen,Books",Mobile,Brand,Unlikely,Maybe,Likely,<$5,Yes,Yes,Slow Delivery,Rarely,Neutral,Very Likely,Product Quality,"AR Product Previews,Flexible Returns,Better Loyalty Rewards",6,Evening,Yes
18-24,Male,<$1000,Bachelor’s,Employed,3-5 times,$100-$199,"Home & Kitchen,Fashion,Groceries",Tablet,Reviews,Likely,Maybe,Likely,<$5,Yes,Yes,Slow Delivery,Sometimes,Not Very Sensitive,Neutral,"Other,Product Quality,Delivery Delays",AR Product Previews,10,Morning,Yes
25-34,Male,$3000-$4999,Bachelor’s,Employed,1-2 times,$20-$49,"Electronics,Fashion,Home & Kitchen",Mobile,Product Range,Very Likely,Yes,Likely,<$5,Yes,Yes,Security Concerns,Sometimes,Very Sensitive,Neutral,Lack of Variety,"Live Chat Support,Better Loyalty Rewards",9,Afternoon,No
25-34,Female,$3000-$4999,Bachelor’s,Student,6-10 times,$20-$49,"Home & Kitchen,Books",Mobile,Price,Likely,No,Neutral,None,Sometimes,Yes,Complicated Checkout,Rarely,Neutral,Likely,"Other,Poor Customer Service","One-Click Checkout,Live Chat Support,Other",8,Evening,Yes
55+,Female,$3000-$4999,Master’s,Employed,3-5 times,$50-$99,"Books,Fashion,Health & Beauty",Tablet,Discounts,Likely,No,Neutral,$10-19,Sometimes,Yes,Slow Delivery,Sometimes,Somewhat Sensitive,Very Likely,Delivery Delays,"One-Click Checkout,AR Product Previews",9,Evening,No
18-24,Male,$1000-$2999,Bachelor’s,Retired,3-5 times,$100-$199,"Fashion,Electronics,Home & Kitchen",Mobile,Discounts,Unlikely,No,Likely,$5-9,Yes,Maybe,Complicated Checkout,Sometimes,Not Very Sensitive,Likely,Other,Better Loyalty Rewards,7,Evening,Maybe
18-24,Male,$1000-$2999,Bachelor’s,Employed,3-5 times,$20-$49,"Home & Kitchen,Groceries",Mobile,Product Range,Unlikely,No,Very Likely,$5-9,Sometimes,No,Slow Delivery,Sometimes,Not Very Sensitive,Very Likely,Lack of Variety,"Live Chat Support,AR Product Previews",5,Night,Yes
35-44,Male,$3000-$4999,Bachelor’s,Employed,10+ times,$100-$199,"Groceries,Books",Mobile,Price,Likely,No,Unlikely,$5-9,Yes,Yes,Complicated Checkout,Sometimes,Neutral,Likely,Other,"One-Click Checkout,Flexible Returns",6,Afternoon,Yes
18-24,Male,"$10,000+",Master’s,Employed,3-5 times,$20-$49,Fashion,Mobile,Price,Unlikely,Maybe,Likely,<$5,Sometimes,Yes,Changed Mind,Always,Somewhat Sensitive,Unlikely,"Delivery Delays,Product Quality",One-Click Checkout,5,Evening,No
18-24,Female,$5000-$9999,Bachelor’s,Student,10+ times,$50-$99,Home & Kitchen,Mobile,Product Range,Very Likely,Maybe,Likely,$5-9,Sometimes,No,High Shipping Costs,Rarely,Not Very Sensitive,Likely,Other,"One-Click Checkout,Live Chat Support",9,Afternoon,Yes
35-44,Male,$3000-$4999,Bachelor’s,Employed,3-5 times,$20-$49,"Groceries,Home & Kitchen,Other",Desktop/Laptop,Discounts,Neutral,Yes,Likely,$5-9,Sometimes,Yes,Slow Delivery,Rarely,Somewhat Sensitive,Very Likely,Product Quality,"Flexible Returns,Live Chat Support,Other",10,Afternoon,Maybe
25-34,Male,"$10,000+",High School,Employed,10+ times,$200+,"Fashion,Groceries,Health & Beauty",Mobile,Price,Very Likely,No,Unlikely,$10-19,Sometimes,Maybe,High Shipping Costs,Rarely,Somewhat Sensitive,Likely,"Delivery Delays,Poor Customer Service,Lack of Variety",Flexible Returns,7,Evening,Yes
25-34,Female,$1000-$2999,Bachelor’s,Employed,3-5 times,$100-$199,"Health & Beauty,Other",Other,Discounts,Neutral,Yes,Likely,<$5,No,Maybe,High Shipping Costs,Sometimes,Very Sensitive,Likely,"Poor Customer Service,Lack of Variety","AR Product Previews,Better Loyalty Rewards,Other",3,Night,Yes
55+,Male,"$10,000+",High School,Unemployed,3-5 times,$200+,Electronics,Desktop/Laptop,Price,Unlikely,Yes,Neutral,$20+,Sometimes,Yes,Changed Mind,Never,Not at All Sensitive,Very Unlikely,"Payment Issues,Lack of Variety","Live Chat Support,Better Loyalty Rewards",5,Afternoon,No
18-24,Female,"$10,000+",Master’s,Employed,3-5 times,$100-$199,Groceries,Mobile,Product Range,Neutral,No,Very Likely,None,Sometimes,No,High Shipping Costs,Sometimes,Neutral,Likely,"Delivery Delays,Lack of Variety,Product Quality","Flexible Returns,Better Loyalty Rewards",7,Evening,No
55+,Female,$5000-$9999,Master’s,Employed,1-2 times,$20-$49,Other,Mobile,Price,Likely,No,Neutral,None,Sometimes,No,Changed Mind,Sometimes,Not Very Sensitive,Likely,Delivery Delays,"Better Loyalty Rewards,Live Chat Support,Flexible Returns",5,Evening,No
25-34,Male,<$1000,Bachelor’s,Employed,3-5 times,$50-$99,"Health & Beauty,Fashion,Other",Mobile,Reviews,Likely,No,Neutral,$10-19,Sometimes,Yes,High Shipping Costs,Sometimes,Somewhat Sensitive,Unlikely,"Product Quality,Delivery Delays,Payment Issues","Better Loyalty Rewards,AR Product Previews,Live Chat Support",5,Night,No
55+,Female,$1000-$2999,Master’s,Employed,3-5 times,<$20,"Groceries,Fashion",Mobile,Brand,Likely,No,Very Unlikely,$5-9,No,Yes,Changed Mind,Never,Very Sensitive,Neutral,Delivery Delays,"Live Chat Support,One-Click Checkout,AR Product Previews",10,Evening,Yes
35-44,Female,<$1000,Bachelor’s,Employed,10+ times,$50-$99,"Groceries,Books,Electronics",Mobile,Price,Likely,Yes,Likely,$10-19,Yes,No,Slow Delivery,Sometimes,Somewhat Sensitive,Neutral,Payment Issues,"Better Loyalty Rewards,AR Product Previews,One-Click Checkout",2,Afternoon,Maybe
35-44,Male,$3000-$4999,Bachelor’s,Retired,Never,$20-$49,"Electronics,Groceries",Mobile,Brand,Unlikely,Maybe,Very Unlikely,<$5,No,Maybe,High Shipping Costs,Sometimes,Not at All Sensitive,Very Likely,"Other,Payment Issues","AR Product Previews,Flexible Returns",9,Evening,No
25-34,Female,$1000-$2999,Bachelor’s,Employed,3-5 times,$20-$49,"Home & Kitchen,Health & Beauty,Groceries",Mobile,Product Range,Neutral,No,Neutral,<$5,No,No,Slow Delivery,Rarely,Very Sensitive,Unlikely,Poor Customer Service,"Better Loyalty Rewards,Flexible Returns,Live Chat Support",8,Evening,Maybe
55+,Male,$3000-$4999,Doctorate,Employed,1-2 times,$100-$199,"Health & Beauty,Groceries,Electronics",Desktop/Laptop,Delivery Speed,Likely,Yes,Very Likely,<$5,Sometimes,Yes,Slow Delivery,Sometimes,Very Sensitive,Likely,"Payment Issues,Product Quality,Lack of Variety",Flexible Returns,8,Evening,Yes
55+,Female,$3000-$4999,High School,Self-employed,3-5 times,$50-$99,"Home & Kitchen,Other,Health & Beauty",Desktop/Laptop,Discounts,Unlikely,Yes,Likely,<$5,Sometimes,Yes,Complicated Checkout,Sometimes,Somewhat Sensitive,Likely,"Poor Customer Service,Delivery Delays,Product Quality",AR Product Previews,10,Evening,Yes
25-34,Male,"$10,000+",Bachelor’s,Employed,3-5 times,$100-$199,"Home & Kitchen,Fashion",Mobile,Price,Very Likely,Maybe,Likely,$5-9,Sometimes,No,High Shipping Costs,Sometimes,Somewhat Sensitive,Neutral,Delivery Delays,Flexible Returns,9,Evening,Yes
55+,Female,$1000-$2999,Doctorate,Unemployed,3-5 times,$50-$99,Fashion,Desktop/Laptop,Price,Likely,No,Unlikely,<$5,Sometimes,Maybe,Complicated Checkout,Sometimes,Not Very Sensitive,Likely,"Payment Issues,Delivery Delays,Lack of Variety","Live Chat Support,One-Click Checkout",5,Afternoon,Yes
35-44,Female,$3000-$4999,Bachelor’s,Unemployed,3-5 times,$20-$49,"Home & Kitchen,Groceries,Health & Beauty",Mobile,Discounts,Unlikely,Yes,Very Unlikely,<$5,No,Yes,Changed Mind,Sometimes,Somewhat Sensitive,Likely,"Payment Issues,Poor Customer Service",One-Click Checkout,9,Morning,No
25-34,Female,$3000-$4999,Master’s,Retired,6-10 times,$100-$199,Home & Kitchen,Mobile,Price,Likely,No,Neutral,$5-9,Sometimes,No,Changed Mind,Rarely,Not at All Sensitive,Likely,"Poor Customer Service,Product Quality",Live Chat Support,3,Morning,No
45-54,Female,$1000-$2999,Master’s,Employed,6-10 times,$100-$199,Electronics,Mobile,Brand,Likely,Yes,Likely,<$5,No,Yes,Slow Delivery,Never,Neutral,Unlikely,"Payment Issues,Other","Flexible Returns,Better Loyalty Rewards,Live Chat Support",4,Afternoon,No
35-44,Male,$1000-$2999,Master’s,Retired,3-5 times,$20-$49,"Home & Kitchen,Health & Beauty,Fashion",Desktop/Laptop,Reviews,Very Unlikely,Yes,Likely,$5-9,Yes,Yes,Slow Delivery,Often,Neutral,Neutral,Lack of Variety,"Better Loyalty Rewards,Flexible Returns,AR Product Previews",2,Night,Yes
18-24,Female,<$1000,Master’s,Employed,10+ times,$50-$99,"Other,Fashion,Groceries",Mobile,Price,Likely,Yes,Very Likely,$10-19,Sometimes,Yes,Security Concerns,Sometimes,Somewhat Sensitive,Neutral,Payment Issues,"Better Loyalty Rewards,Live Chat Support,One-Click Checkout",4,Morning,Maybe
18-24,Male,$1000-$2999,Master’s,Retired,6-10 times,$50-$99,Groceries,Mobile,Discounts,Likely,No,Likely,$5-9,Sometimes,Yes,Complicated Checkout,Often,Not at All Sensitive,Very Likely,"Delivery Delays,Payment Issues,Other","Better Loyalty Rewards,Flexible Returns",8,Night,Maybe
35-44,Female,$5000-$9999,Bachelor’s,Self-employed,1-2 times,$50-$99,"Home & Kitchen,Fashion,Books",Mobile,Reviews,Neutral,No,Likely,<$5,Sometimes,No,Complicated Checkout,Sometimes,Not Very Sensitive,Neutral,"Poor Customer Service,Delivery Delays,Payment Issues","Live Chat Support,One-Click Checkout,AR Product Previews",6,Evening,Yes
25-34,Male,$3000-$4999,Bachelor’s,Self-employed,Never,$50-$99,"Books,Health & Beauty",Mobile,Price,Very Likely,Yes,Unlikely,<$5,Yes,Maybe,Changed Mind,Often,Somewhat Sensitive,Very Likely,"Other,Payment Issues,Lack of Variety",AR Product Previews,6,Night,Yes
45-54,Male,<$1000,Bachelor’s,Student,10+ times,$100-$199,Groceries,Tablet,Discounts,Very Likely,Maybe,Unlikely,<$5,Sometimes,No,High Shipping Costs,Rarely,Very Sensitive,Neutral,"Delivery Delays,Other,Poor Customer Service","Flexible Returns,One-Click Checkout,Live Chat Support",5,Night,Maybe
45-54,Female,$3000-$4999,Bachelor’s,Student,3-5 times,$20-$49,"Health & Beauty,Fashion,Groceries",Mobile,Delivery Speed,Very Unlikely,Maybe,Likely,<$5,No,No,Slow Delivery,Rarely,Somewhat Sensitive,Neutral,"Payment Issues,Poor Customer Service",Live Chat Support,5,Afternoon,Maybe
18-24,Female,$1000-$2999,Master’s,Retired,3-5 times,$100-$199,"Groceries,Electronics",Desktop/Laptop,Price,Very Likely,No,Likely,None,Yes,No,Other,Sometimes,Very Sensitive,Likely,Poor Customer Service,"One-Click Checkout,Live Chat Support",4,Evening,No
25-34,Male,$5000-$9999,Master’s,Employed,6-10 times,$100-$199,Health & Beauty,Desktop/Laptop,Reviews,Very Unlikely,Yes,Very Likely,$20+,Sometimes,Yes,Security Concerns,Sometimes,Somewhat Sensitive,Very Unlikely,Product Quality,"Flexible Returns,One-Click Checkout,Live Chat Support",6,Night,Yes
45-54,Female,$5000-$9999,Bachelor’s,Unemployed,6-10 times,$20-$49,"Electronics,Other,Groceries",Mobile,Product Range,Neutral,No,Neutral,<$5,Sometimes,Yes,Changed Mind,Often,Very Sensitive,Very Unlikely,Lack of Variety,"Flexible Returns,Better Loyalty Rewards",4,Night,Yes
45-54,Female,$5000-$9999,Master’s,Self-employed,3-5 times,$20-$49,Books,Tablet,Price,Neutral,Yes,Likely,$5-9,Yes,No,Slow Delivery,Often,Neutral,Neutral,"Poor Customer Service,Product Quality",Live Chat Support,10,Afternoon,Maybe
45-54,Female,$5000-$9999,Doctorate,Unemployed,6-10 times,$50-$99,Electronics,Other,Price,Likely,No,Likely,<$5,Yes,Yes,Complicated Checkout,Often,Somewhat Sensitive,Very Unlikely,"Product Quality,Delivery Delays","One-Click Checkout,AR Product Previews,Flexible Returns",6,Morning,No
55+,Male,$5000-$9999,Bachelor’s,Employed,3-5 times,$20-$49,"Home & Kitchen,Health & Beauty",Mobile,Reviews,Likely,No,Likely,$5-9,No,Yes,High Shipping Costs,Sometimes,Neutral,Likely,Payment Issues,"One-Click Checkout,Other,Live Chat Support",8,Evening,No
45-54,Male,"$10,000+",Other,Employed,1-2 times,$50-$99,Fashion,Mobile,Discounts,Unlikely,Maybe,Neutral,$10-19,No,No,Changed Mind,Sometimes,Somewhat Sensitive,Likely,Payment Issues,Better Loyalty Rewards,9,Evening,No
45-54,Female,"$10,000+",Bachelor’s,Employed,3-5 times,$50-$99,Health & Beauty,Mobile,Delivery Speed,Very Likely,Yes,Unlikely,$20+,Yes,Maybe,Complicated Checkout,Often,Not Very Sensitive,Likely,"Product Quality,Lack of Variety,Delivery Delays","One-Click Checkout,Better Loyalty Rewards,Flexible Returns",7,Evening,Yes
25-34,Male,$5000-$9999,Bachelor’s,Employed,3-5 times,$50-$99,Fashion,Mobile,Delivery Speed,Likely,Yes,Unlikely,None,Sometimes,No,Complicated Checkout,Rarely,Not Very Sensitive,Likely,"Payment Issues,Delivery Delays,Other",Better Loyalty Rewards,6,Night,Yes
18-24,Male,"$10,000+",Bachelor’s,Employed,1-2 times,$20-$49,Fashion,Desktop/Laptop,Price,Neutral,Maybe,Likely,<$5,No,Yes,Complicated Checkout,Often,Very Sensitive,Unlikely,"Product Quality,Lack of Variety","Live Chat Support,AR Product Previews",5,Night,Yes
35-44,Female,$3000-$4999,High School,Employed,6-10 times,$100-$199,Groceries,Tablet,Delivery Speed,Likely,Yes,Likely,<$5,Sometimes,Yes,Security Concerns,Never,Very Sensitive,Very Likely,Other,Flexible Returns,5,Evening,No
45-54,Male,$3000-$4999,Bachelor’s,Self-employed,6-10 times,$100-$199,"Books,Fashion,Electronics",Mobile,Brand,Likely,No,Likely,<$5,No,No,Complicated Checkout,Sometimes,Very Sensitive,Likely,"Lack of Variety,Poor Customer Service",One-Click Checkout,7,Evening,Yes
25-34,Male,$3000-$4999,Bachelor’s,Employed,3-5 times,$50-$99,"Health & Beauty,Fashion",Desktop/Laptop,Brand,Very Likely,Yes,Very Likely,$5-9,No,Yes,Complicated Checkout,Often,Very Sensitive,Likely,Product Quality,"Flexible Returns,Better Loyalty Rewards,Live Chat Support",9,Evening,Yes
